submissionDate,state,totalCases,newCases,totalDeaths,newDeaths
03/21/2022,MA,1687720,1783,20041,12
10/15/2020,AS,0,0,0,0
04/23/2021,OK,447619,211,7244,3
12/31/2021,AR,566486,3957,9148,17
12/30/2020,PR,79053,750,1495,10
12/10/2020,UT,225946,3401,1016,21
11/13/2021,AR,519453,590,8562,2
01/29/2021,TX,2330028,19076,40654,275
11/26/2021,MP,649,45,3,0
02/28/2020,CO,0,0,0,0
09/04/2020,NYC,237873,296,23421,5
07/02/2021,OK,458850,367,7400,5
09/04/2021,HI,64597,875,610,1
01/25/2020,CO,0,0,0,0
02/28/2021,PW,0,0,0,0
09/01/2021,AK,85358,761,435,4
03/20/2022,CO,1342347,273,11887,0
02/16/2021,UT,362347,591,1797,1
10/19/2020,AR,99597,531,1714,10
10/05/2020,MP,73,0,2,0
02/18/2022,OK,1014388,1101,12767,0
04/03/2022,WV,497864,0,6835,0
01/09/2022,UT,682036,0,3896,0
07/08/2021,CO,567435,496,6827,3
10/10/2021,MA,825795,1155,18764,9
12/06/2021,OK,673202,975,11272,0
09/16/2020,AK,6444,50,59,0
02/28/2020,KS,0,0,0,0
08/21/2020,MP,54,0,2,0
08/19/2021,MP,221,1,2,0
10/28/2021,HI,81168,117,886,2
04/13/2021,HI,31175,62,468,0
03/03/2022,MP,9999,77,30,0
02/14/2021,GA,964737,1929,15871,21
03/24/2021,NYC,823404,5105,30871,58
04/06/2020,UT,1716,111,13,5
01/06/2021,PR,83437,1733,1577,3
07/27/2020,AR,39447,824,408,7
08/30/2020,AR,60856,478,784,12
08/22/2020,CO,56322,310,1918,8
01/27/2022,MP,4692,128,23,0
02/22/2022,AR,816168,869,10305,13
04/25/2020,NYC,163783,2920,16919,409
05/27/2021,KS,313720,0,5067,0
09/23/2021,OK,604391,1230,8772,10
08/01/2020,FL,475026,6923,9152,223
02/07/2020,MA,1,0,0,0
02/19/2022,PR,471232,563,4078,9
09/28/2020,NYC,246393,313,23522,5
03/28/2020,UT,588,122,2,0
06/08/2020,KS,10650,257,236,4
11/08/2021,CO,777008,2139,8499,92
06/28/2020,GA,77596,2186,2778,2
01/02/2022,PW,16,4,0,0
01/07/2021,TX,1891741,24578,33467,343
02/18/2022,PR,470669,377,4069,9
01/22/2022,KS,681405,0,7319,0
01/19/2021,KS,259822,0,3525,0
12/23/2020,MP,118,2,2,0
08/07/2020,FL,513519,8211,10462,210
05/27/2021,AK,67357,40,362,0
02/08/2021,FL,1751082,7049,29972,113
10/02/2020,PW,0,0,0,0
05/04/2020,KS,5245,215,136,2
10/14/2021,MA,831662,1789,18816,14
12/27/2020,KS,209689,0,2507,0
03/02/2020,AS,0,0,0,0
07/12/2020,FL,275572,12061,5067,153
12/12/2020,AR,184252,2628,2911,36
07/02/2021,HI,36508,73,515,0
08/13/2021,HI,47612,1149,544,1
08/14/2021,NYC,1003176,1953,33659,9
05/11/2020,TX,39869,1000,1356,34
09/28/2021,AS,1,0,0,0
07/25/2021,UT,428119,567,2431,2
03/06/2020,UT,0,0,0,0
12/01/2020,PR,56100,408,1138,20
01/12/2022,AR,640799,10974,9372,14
04/11/2021,PW,0,0,0,0
04/16/2020,CO,8936,421,373,16
01/19/2022,AS,18,0,0,0
06/23/2021,PW,2,0,0,0
05/16/2021,PR,138137,138,2429,3
04/02/2022,PR,481609,0,4170,0
11/01/2020,MA,159707,1131,10048,20
05/17/2020,KS,7886,0,172,0
06/09/2021,FL,2300162,1921,37477,36
12/12/2020,PR,65221,525,1261,2
05/03/2020,MP,14,0,2,0
11/30/2020,WV,47842,845,735,6
09/06/2021,WV,199300,1316,3148,24
06/25/2020,PR,1778,18,139,0
08/02/2020,KS,27812,0,358,0
05/07/2020,FL,37695,343,1776,41
06/13/2021,PR,140625,34,2518,0
01/12/2022,HI,149460,3460,1099,5
01/11/2021,MA,437042,4251,13405,60
12/07/2020,PW,0,0,0,0
02/28/2022,HI,230458,361,1322,4
05/28/2020,WV,1935,36,74,0
04/22/2020,OK,3612,81,190,9
07/20/2021,FL,2456366,11860,38886,80
03/09/2022,PW,3888,0,6,0
01/20/2022,AR,713643,11160,9470,8
12/12/2021,PW,10,0,0,0
04/25/2021,GA,1093768,916,19975,2
03/20/2020,AS,0,0,0,0
03/08/2021,AS,4,0,0,0
11/11/2020,HI,16077,116,221,0
02/28/2022,UT,922852,896,4411,3
05/16/2020,AR,4578,115,98,0
12/15/2021,AS,10,0,0,0
05/26/2020,PR,1241,9,119,2
06/20/2021,TX,2975701,526,51314,20
01/13/2021,AR,262020,2467,4186,65
08/23/2020,HI,6744,169,47,0
02/21/2020,CO,0,0,0,0
04/02/2022,AK,239750,0,1195,0
12/25/2021,WV,319035,0,5251,0
02/08/2020,TX,0,0,0,0
04/11/2020,MA,23918,3073,982,124
11/05/2021,HI,82071,111,936,12
10/12/2021,KS,420401,1060,6142,0
03/06/2022,FL,5818495,812,72720,55
01/16/2022,AS,11,0,0,0
05/16/2020,MA,84933,1512,6185,92
09/07/2020,GA,295685,798,6044,7
03/31/2021,HI,29779,90,460,1
06/29/2020,WV,2870,38,93,0
11/27/2021,KS,463638,825,6673,0
07/05/2021,MA,710354,72,18001,1
11/14/2021,WV,283075,670,4610,0
12/27/2021,MA,1069310,13791,20075,25
11/09/2020,MP,98,0,2,0
06/15/2020,HI,727,3,17,0
05/17/2020,UT,7305,139,80,1
05/18/2021,GA,1116775,767,20532,26
01/01/2021,WV,87820,2486,1361,23
11/20/2020,KS,134533,5939,1410,84
10/16/2021,MA,834307,996,18831,3
11/03/2021,KS,438196,2263,6448,26
07/11/2021,MA,711050,110,18011,0
06/23/2020,AS,0,0,0,0
11/28/2020,AS,3,0,0,0
08/02/2021,AS,0,0,0,0
10/07/2021,MP,273,1,2,0
12/13/2020,HI,18938,77,272,3
09/23/2021,KS,403194,1263,5919,0
10/22/2020,AR,102798,1202,1772,21
05/04/2020,UT,5406,145,56,6
07/16/2021,MP,187,0,2,0
09/29/2021,PR,180856,171,3141,3
05/15/2021,PW,0,0,0,0
02/07/2020,WV,0,0,0,0
05/07/2021,PW,0,0,0,0
10/10/2021,FL,3625572,1907,59893,110
08/08/2021,TX,3225082,5740,52463,28
08/20/2021,CO,604872,1809,7067,11
02/04/2020,AS,0,0,0,0
10/02/2020,MA,133631,761,9515,15
09/25/2020,WV,14953,247,330,5
02/01/2020,WV,0,0,0,0
